iter	Passed	Remaining
433	1334	1740
434	1336	1735
435	1337	1730
436	1339	1725
437	1341	1720
438	1342	1716
439	1345	1712
440	1348	1709
441	1349	1704
442	1351	1699
443	1354	1696
444	1356	1692
445	1358	1687
446	1361	1683
447	1362	1679
448	1364	1674
449	1366	1670
450	1368	1665
451	1369	1660
452	1371	1655
453	1379	1658
454	1381	1655
455	1384	1651
456	1386	1647
457	1388	1642
458	1393	1642
459	1395	1638
460	1398	1634
461	1400	1631
462	1403	1627
463	1406	1625
464	1409	1621
465	1410	1616
466	1413	1613
467	1415	1608
468	1417	1604
469	1421	1603
470	1423	1598
471	1425	1594
472	1427	1590
473	1429	1586
474	1430	1581
475	1432	1577
476	1436	1574
477	1437	1570
478	1442	1568
479	1444	1564
480	1447	1562
481	1450	1558
482	1453	1555
483	1456	1553
484	1459	1549
485	1461	1545
486	1467	1546
487	1470	1543
488	1482	1548
489	1489	1550
490	1505	1560
491	1513	1562
492	1515	1558
493	1517	1554
494	1519	1550
495	1521	1546
496	1524	1542
497	1527	1539
498	1530	1536
499	1537	1537
500	1542	1535
501	1544	1532
502	1547	1529
503	1551	1527
504	1556	1526
505	1559	1522
506	1562	1518
507	1564	1514
508	1565	1510
509	1567	1505
510	1569	1502
511	1572	1498
512	1573	1494
513	1575	1489
514	1576	1485
515	1578	1480
516	1580	1476
517	1582	1472
518	1585	1469
519	1586	1464
520	1588	1460
521	1590	1455
522	1591	1451
523	1593	1447
524	1594	1442
525	1596	1438
526	1603	1438
527	1607	1436
528	1610	1433
529	1613	1431
530	1616	1427
531	1618	1423
532	1621	1421
533	1623	1416
534	1626	1413
535	1629	1410
536	1632	1407
537	1634	1403
538	1636	1399
539	1638	1395
540	1640	1391
541	1644	1389
542	1646	1385
543	1647	1381
544	1649	1377
545	1651	1373
546	1653	1369
547	1659	1368
548	1662	1365
549	1664	1361
550	1666	1358
551	1668	1354
552	1672	1351
553	1674	1347
554	1676	1344
555	1678	1340
556	1680	1336
557	1682	1333
558	1687	1331
559	1690	1328
560	1692	1324
561	1695	1321
562	1697	1317
563	1699	1313
564	1704	1312
565	1706	1308
566	1708	1304
567	1710	1300
568	1711	1296
569	1714	1293
570	1718	1291
571	1720	1287
572	1722	1283
573	1724	1280
574	1727	1277
